,cate,product,cost,review_star,review,tag
203,Gift Cards,Amazon eGift Card - Star,$50.00,5,"Many times you want to thank your friends for assisting you with exceptional tasks. It can be difficult trying to find the best gift to offer as a way of saying “thank you for being there”. The Amazon gift card is probably one of the best gifts because just about everyone can find something they can use. In fact, when my friend received the gift card that is exactly what they said. They were most appreciative to receive an Amazon gift card.

It was easy to gift, I sent it via email, and it was ready to use ASAP. This type of gift is also good when people do not want to give out their physical address.",positive
204,Gift Cards,Amazon eGift Card - Star,$50.00,5,"These gift cards are easy to use make purchasing them and giving a gift so easy even a cave man can do it!! My only advice is MAKE SURE YOU TYPE IN EMAIL ADRESS CORRECTLY. However, as I just mentioned in my experience if you catch it immediately or within a very short time span Amazon seems to work w/you on this. So far I believe we've purchased these for 3 seperate ppl and this has given them the freedom to buy what they want instead of us sending a gift they don't want. And, while ppl say getting a personalized gift shows that it comes from the heart which I agree with...there's is nothing worse than spending a long time shopping for someone and in turn they don't like their gift(and your shopping from the heart) and by a long time I mean hours and so with buying a gift card it takes away the anxiety of buying a gift they'll love and it removes the disappointment on their end as well. Oh and you can buy a somewhat personalized card...like Happy Father's Day, Happy Birthday, and so on OR...you can add a personalized photo which we've done and I ABSOLUTELY LOVE THIS!! So if you have any reservations I hope this cleared it up oh and one more thing...I believe you can make them up to $1- $500 (the amount may be higher not really sure on this).",positive
205,Gift Cards,Amazon eGift Card - Star,$50.00,5,"I love these gift cards. I have an older set of parents that I adore. So for years, I have told them that I sent them an Amazon ECard for an occasion. They were so polite and said thank you so much. Something told me that there was something too easy about this gift carding usage with them so I checked my account. My folks thought I was sending them an e-card and that it automatically went into their Amazon account. I found that they had never opened the cards to follow the button that states ""Apply to your account"". Either they thought they were saving me money or they thought it was just automatic. We were on the phone and went through the process. Now, they have $350 of e-cards they never loaded. Now, they enjoyed their Prime Day! And we are all 3 laughing at ourselves. So I say with joy, check on your parents!!",positive
206,Gift Cards,Amazon eGift Card - Star,$50.00,5,A dear colleague and friend was moving from Hawaii to New York. Sadly part of the mass resignation and impact of COVID. It was a versatile gift that was easy for me to get to her in a short period of time and I’m confident she will be able to use it no matter where she finally settles.,positive
207,Gift Cards,Amazon eGift Card - Star,$50.00,5,"I just hate anger but giving someone you really do not respect, a dollar is perfect!! They are insulted but money grabber gene more powerful! They use it reluctantly and of course have to add to it to purchase something! Revenge is always better if causes no real harm and has a bit of sarcastic humor.",positive
208,Gift Cards,Amazon eGift Card - Star,$50.00,5,"I always give my kids and grandkids Amazon gift cards because I generally have no idea what they might want or need and frankly I'm too lazy (too old) to go shopping even if I did know what they wanted. If they can't find it on Amazon, it doesn't exist.",positive
209,Gift Cards,Amazon eGift Card - Star,$50.00,5,"Got this for a 13 year olds birthday, and she loved it. Super simple and very easy to get last minute. Did you forget to buy a gift?? Give this instead. Can be used instantly and is sure to get them what they want or to towards a larger item they wish to purchase.",positive
210,Gift Cards,$200 Visa Gift Card (plus $6.95 Purchase Fee),$206.95,5,"I bought 2 cards a few days apart as a gift. First card worked perfectly, second card was hacked. I'm not sure what happened but the card was used in NY (I'm in LA) a little while after I activated it. Called the number... Very tedious as it asks for a lot of confirmations and verifications but good in a way. The representative that helped me let me know he will be sending me a new card in the mail and has put the card under investigation. Very helpful and sweet man.",positive
211,Gift Cards,$200 Visa Gift Card (plus $6.95 Purchase Fee),$206.95,5,"Y’all I was freaking out! So many reviews said that their gift card was already used or they got scammed and honestly had no other choice but to get this gift card to pay for something else. So I took a chance. As soon as I got it , it looked old and I thought it had Al been tampered with. I still went online and followed the instructions to register the card I my name with my zip code and all the info asked for. Once the card was officially registered I added the card to my PayPal account. I used it right away (scared that I was register it and immediately someone else would use it like other reviews said) and I had $200 (minus that $6.95 fee) on my card and it’s been a couple of months and I still have like $7 left on it. So it all worked out! These other reviews had me SWEaTING and praying! So glad my card wasn’t compromised !",positive
212,Gift Cards,$200 Visa Gift Card (plus $6.95 Purchase Fee),$206.95,5,Didn’t want to risk anything based on reading some reviews so If you want to be safe just redeem it through PayPal soon as you activate it and send it to another account to cash out.,positive
213,Gift Cards,$200 Visa Gift Card (plus $6.95 Purchase Fee),$206.95,5,These cards serve as great incentives for clients and serve as excellent replacements for those of us at a loss for what to purchase as gifts for loved ones.,positive
214,Gift Cards,$200 Visa Gift Card (plus $6.95 Purchase Fee),$206.95,5,the one are relyable dosent have any proublems,positive
215,Gift Cards,$200 Visa Gift Card (plus $6.95 Purchase Fee),$206.95,5,Mother's day,positive
216,Gift Cards,$200 Visa Gift Card (plus $6.95 Purchase Fee),$206.95,5,I bought it as a gift for my Brother. i felt it's right choice of choosing this gift card as it's visa and can be used anywhere.,positive
217,Gift Cards,$200 Visa Gift Card (plus $6.95 Purchase Fee),$206.95,5,Really helped after losing my wallet!,positive
218,Gift Cards,$200 Visa Gift Card (plus $6.95 Purchase Fee),$206.95,4,No problem here,positive
219,Gift Cards,$200 Visa Gift Card (plus $6.95 Purchase Fee),$206.95,5,I like the convenience for gifting. I don't have to wrap or mail anything and the person receiving the gift is always happy.,positive
220,Gift Cards,Amazon.com Gift Card in a Mini Envelope (Navy and Gold),$10.00,5,The envelope was compact and the color choices were pleasant and good for gifting and well captured in pics😉,positive
221,Gift Cards,Amazon.com Gift Card in a Mini Envelope (Navy and Gold),$10.00,5,I ordered the Amazon Gift card for my grandson. Delivery was on time. And he already knew what to do to enjoy the shopping experience on Amazon app. And he was thrilled with it all.,positive
222,Gift Cards,Amazon.com Gift Card in a Mini Envelope (Navy and Gold),$10.00,5,"Best for any holiday, gave mine as a baby shower gift. They are easy to use on the app or the web to purchase items. Would purchase again if needed",positive
223,Gift Cards,Amazon.com Gift Card in a Mini Envelope (Navy and Gold),$10.00,5,The Easiest gift for a love one to get their own things.,positive
224,Gift Cards,Amazon.com Gift Card in a Mini Envelope (Navy and Gold),$10.00,5,My cards are always used for gifts cant find out the worth of each!!,positive
225,Gift Cards,Amazon.com Gift Card in a Mini Envelope (Navy and Gold),$10.00,5,This is a quick and easy way to show appreciation for a job well done.,positive
226,Gift Cards,Amazon.com Gift Card in a Mini Envelope (Navy and Gold),$10.00,5,"Needed a last minute gift/prize for baby shower and these are the perfect, giftable items! Fast delivery too!",positive
227,Gift Cards,Amazon.com Gift Card in a Mini Envelope (Navy and Gold),$10.00,5,Easy and convenient gift card in your choice of color/envelope. You get exactly what you buy.,positive
228,Gift Cards,Amazon.com Gift Card in a Mini Envelope (Navy and Gold),$10.00,4,"These are a cute way to send an amazon gift card to someone for their birthday. We use them as gifts for clients on their birthdays. However, a few things I wish they would update:
1 - Sometimes they come glued shut. This would be fine except I need to write how much the gift card is for and I prefer to do that on the gift card or on the inside of the mini envelope
2 - Without fail there is a little gray circle mark on the back of each envelope - it makes it look like water or a grease stain
3 - It would be great if they could just print the amount of the gift card somewhere on the envelope so I don't have to write it for each one.",positive
229,Gift Cards,Amazon.com Gift Card in a Mini Envelope (Navy and Gold),$10.00,5,Great gift for employee appreciation day.,positive
230,Gift Cards,Amazon eGift Card - Congrats (Fireworks),$50.00,1,"I have sent and received 1000s in amazon gift cards over the years. So it hurts me to write this review but I want to make sure people are aware of how little responsibility Amazon takes to make sure a gift sent through them reaches your loved ones. I sent a 100$ gift card to a friend in April. When she went to use it, she was told the claim code was not valid. She let me know and I called Amazon. I was told that the claim code was used by someone else (they could tell it was a different person)...they sent the same claim code on two different gift cards, so clearly their fault. The rep said she would let the gift card department know. But next morning I get this email from a customer service rep in India..

""
I've researched your Amazon.com Gift Card order and found that it may have been used by ""Susan Pebley"" someone other than the intended recipient. I'm not able to resend the gift card or refund the order.

To receive a refund, please contact the bank that issued the credit card used to purchase the gift card and dispute the charge. The bank will send paperwork for you to sign to verify any unauthorized charge. Your bank will then pass the appropriate paperwork on to us.

I hope you understand my limitations and help us to serve you better.We hope to see you again soon.

We'd appreciate your feedback. Please use the links below to tell us about your experience today.""

One they dont want to fix something that should be easy to fix....""just reissue a gift card"", they want me to spend more time trying to get back what should be there in the first place . The credit card company cant do anything unless you find out about it in their 90 day limit. That doesnt usually happen as most gift card recepients dont use it right away. They might not even feel close enough to the giver to let them know it didnt work...just imagine how many gifts dont reach the recipient.

very disappointed by Amazon. I will be looking for a different more reliable company to send my gifts with.

Felt this was important to bring to people's attention with the coming holiday season. Please don't waste your money sending an Amazon gift card. Just send your loved ones cash instead.",negative
231,Gift Cards,Amazon eGift Card - Congrats (Fireworks),$50.00,5,"How can you not give an amazon card 5 stars? This is the only website where you can order anything in the world that you can even possibly imagine and have it shipped for free to you in a day. This is simply amazing.

I challenge you to find me another website where you can buy a brand new vehicle as a 16 year old trouble making teenager and have it hand delivered to your house. All your friends will think you are cool as sh*t because, after all, you are driving a brand new vehicle in high school.

The hot high school cheerleader that you have spent hundreds of hours dreaming about the day you get a chance with her won't be a able to resist. She approaches you and your sweet ride with a giggly, nervous approach and you know its on. You end up asking her out on a date the following week and she says ""of course"".

Now you need some new clothes to wear for this date because its the biggest night of your so far anticlimactic life. So what do you do? you hit Amazon.com and order a new wardrobe, throw some very overpowering body spray in on the order. You punch in the Amazon gift card number that your parents gave you and BAM! Order confirmed, it'll be at mommy and daddy's door day after tomorrow.

You drive your brand new whip to a buddies house and tell him about your date with the hot girl from school named Lexi. He jealously laughs and talks about how obviously with a name like Lexi you better get some protection to keep on hand for later after the date. You shrug it off and act like you are way ahead of him. You say ""i think i have a couple"" even though you have never touched one in your life.

You head home, you do some searches online and see that your buddy was right. You find proof on Urban Dictionary that any girl with a name like Lexi is definitely putting out on the first date.

Your parents work at the local grocery store and they know someone that works at an other stores in your surrounding area. How the hell are you going to buy condoms without them knowing? AMAZON!!! you log on as fast as you can, nervous to type in the search bar. After a minute of anxiety you do it, you type it in the search bar and the results are endless. You had no idea that there was a need for different flavors, shapes and colors. You remember that your only amazon account is linked straight to mommy and daddy's phone. They get an alert anytime you spend their money on Amazon.

You sit and ponder what to do in front of the $3500 iMac that you got handed to you for your 15 and half birthday. You decide to order from a large online retailer that you know well. You have been in their big box stores hundreds of times so you know its a legit place to buy from. You pull out your debit card that is linked to a checking account that you have never put a dime in but mommy always makes sure to give you a few hundred dollars when you act like a little brat because you say you are broke. You place the order: $7.99 for a ten pack plus $4.63 for shipping. The shipping charge is almost as much as the item but you don't care because you have never worked far anything and money is not an object to you. Now you just have to figure out tonights homework and its game on this Frida night.

Your date is now only hours away. ""This will work out great"" you think. You'll drive your week old rig that you purchased on amazon home from school, change into some new bad to the bone clothes spray a can or two of some horrible smelling body spray on and head over to Lexi's house to pick her up for your night of adventure.

After school you rush home, you arrive, send a couple texts to friends asking them to wish you luck tonight. Of course you are using a brand new iPhone X because Daddy wouldn't want you to look like one of those ""poor kids"" that is still running the iPhone 7. You ask the butler to hand over any mail that came in your name. He replies ""no mail today sir"". What the hell? you ordered those condoms two days ago, everything you ever order online is two day shipping WHAT THE...??

You realize that this shipping delay must be because you bought it on a site other than amazon. You frantically log into the iMac and go track your shipment. ""Processing"" is the only word you see. Ok, Ok, Ok. Its going to be fine. you calm yourself down trying to convince yourself that this female named Lexi isn't going to be like that anyway. You try to forget all the warnings from friends and Urban Dictionary about the morals that women named Lexi have... or don't have.

You load up in the rig and head over to the address that Lexi texted you. You are using the iPhone X to navigate. You arrive. She comes running out to the rig not wearing a whole lot. Maybe all that research was right about Lexi's. You justify it by telling yourself ""its hot out, she just doesn't like to be hot"". Your are sweating with nervousness despite the A/C being full blast in the brand new vehicle. You start driving to the bowling ally like you two had talked about at school in front of your brand new lifted diesel megacab.

Lexi starts to laugh and asks, ""we aren't really going bowling are we??"" in her typical dirty Lexi voice. She sees that your are frozen. You don't know what to say or do in this moment. She tells you to drive down a back road that she knows about. ""its only about 10 minutes from here"" she says. you drive and make nervous small talk on the way. Listening to Lexi for directions just as you had listened to Siri when trying to find Lexi's house. You really have no sense of direction and its easier to follow Lexi's directions than SIri's anyway. Why does Siri always have to say head north on such and such street or southwest on that street? You have only ever used a compass playing World of Warcraft and that doesn't help much.

You arrive at the dirt road Lexi was talking about, its beginning to get dark. She starts acting just like those guys on Urban Dictionary said she would. She asks if you have protection. You tell her no ""i can't stand those"" an excuse you've heard others use but you have no idea what you are saying. Soon it happens and is over in approximately 26 seconds. You head back to Lexi's house to drop her off. You can't believe what just happened. You head home, call Mommy in transit and tell her to transfer some money to you r account so you can fill this rig up with 35 gallons of pure American Diesel fuel. you fill it up and go home.

Several weeks go by and you get a late night call from Lexi. She hasn't talked to you much since the date night and you thought it was over. So a missed call from Lexi was rather exciting. You call her back, she gives you the news. She's pregnant.

While on the phone with her the butler knocks on the door of your room. You say ""Freak off!"" like he expected from your disrespectful a*s. he cracks the door and drops a box on the floor. Its the condoms you ordered from a site other than Amazon over a month ago. ""How ironic"" you think and kick the box in anger.

9 months later, you are at the hospital while Lexi is birthing your child. You weren't even going to come since you haven't ever had to take any responsibility for your actions. Your mommy told you that she would buy you the new iPhone XI if you went and acted interested though. The kid is born, you don't give a flying freak and you leave.

Several weeks later you get a subpoena to appear in court for a hearing regarding child support. You go to court and due to having such wealthy parents and a healthy trust fund you are ordered to pay $10k/month to Lexi. That isn't shoot to you though since you know mommy and daddy will pay it.

Now, many years later, you are still living in mommy and daddy's mansion. They refused to buy you your own house like they had promised since they have payed nearly one million dollars in child support to Lexi. This is the first time they have ever stood by their word and not given you what you want.

Everyday you curse that online retailer. You wish that you would have had and Amazon gift card to buy those condoms. You would be living in your own mansion with your own butler to order around and you definitely wouldn't have a dirty kid that you have to see every other weekend.

This is why Amazon Gift cards get 5 stars from me",positive
232,Gift Cards,Amazon eGift Card - Congrats (Fireworks),$50.00,1,"I think I am just wasting time writing this, but this must have happened to someone else. Something is definitely not right here.
I have had so many good experiences with eGift cards until this one. I bought 4 email gift cards in 1 order and they were all sent correctly to 4 recipients' emails. Two of them were redeemed within a day and I got notified via email as such. After almost 3 months, I was browsing my other orders and saw the other two were redeemed by an email address that I didn't recognize. I sent an inquiry to Amazon.com. After 10 emails, 1 phone call and 1 chat 4 weeks later, amazon.com asked me to file a claim through my credit card company that paid for the gift cards.
My initial inquiries via emails were quite frustrating as each email was responded by different support person who obviously didn't read previous emails. After two days of these emails, I called amazon.com. The support person was helpful and told me name of the amazon customer who redeemed the two gift cards. Since I didn't know the amazon customer who redeemed the gift cards and I never resent those gift cards to an email address different from the intended recipients, it was clear that the two gift cards were fraudulently sent and redeemed. They were going to investigate this case, so I thought. After 2 weeks of not hearing back from amazon.com, I followed up with the most recent email from 2 weeks prior. They came back with they will contact me when they finish their investigation. I didn't hear back from them for another 2 weeks, so I sent another followup email. This time, they came back with you need to go through your credit card company to file a claim. It was clear I wasted weeks corresponding with amazon.com thinking they are doing something, but it is clear now all they are doing is dragging this out to frustrate their customers. Just because I feel I need to do the right thing, I filed a claim with my credit card company today and I am posting this review.
So, why didn't I get an email when those two gift cards were resent to another email? Why didn't I get an email when those two gift cards were redeemed? Did I say that neither me nor my original recipients know the customer name who redeemed those two gift cards nor the email in which the gift cards were resent? How did those two gift cards get resent to an email address without my credit card number being re-entered, or was my credit card number re-entered? Amazon.com knows the customer who redeemed the two gift cards. Did they ask that customer how she got the gift cards? None of that seems to matter as they just came back after all the emails, phone call and chat, you need to file a claim via your credit card company.",negative
233,Gift Cards,Amazon eGift Card - Congrats (Fireworks),$50.00,5,"Many times you want to thank your friends for assisting you with exceptional tasks. It can be difficult trying to find the best gift to offer as a way of saying “thank you for being there”. The Amazon gift card is probably one of the best gifts because just about everyone can find something they can use. In fact, when my friend received the gift card that is exactly what they said. They were most appreciative to receive an Amazon gift card.

It was easy to gift, I sent it via email, and it was ready to use ASAP. This type of gift is also good when people do not want to give out their physical address.",positive
234,Gift Cards,Amazon eGift Card - Congrats (Fireworks),$50.00,5,"These gift cards are easy to use make purchasing them and giving a gift so easy even a cave man can do it!! My only advice is MAKE SURE YOU TYPE IN EMAIL ADRESS CORRECTLY. However, as I just mentioned in my experience if you catch it immediately or within a very short time span Amazon seems to work w/you on this. So far I believe we've purchased these for 3 seperate ppl and this has given them the freedom to buy what they want instead of us sending a gift they don't want. And, while ppl say getting a personalized gift shows that it comes from the heart which I agree with...there's is nothing worse than spending a long time shopping for someone and in turn they don't like their gift(and your shopping from the heart) and by a long time I mean hours and so with buying a gift card it takes away the anxiety of buying a gift they'll love and it removes the disappointment on their end as well. Oh and you can buy a somewhat personalized card...like Happy Father's Day, Happy Birthday, and so on OR...you can add a personalized photo which we've done and I ABSOLUTELY LOVE THIS!! So if you have any reservations I hope this cleared it up oh and one more thing...I believe you can make them up to $1- $500 (the amount may be higher not really sure on this).",positive
235,Gift Cards,Amazon eGift Card - Congrats (Fireworks),$50.00,5,"I love these gift cards. I have an older set of parents that I adore. So for years, I have told them that I sent them an Amazon ECard for an occasion. They were so polite and said thank you so much. Something told me that there was something too easy about this gift carding usage with them so I checked my account. My folks thought I was sending them an e-card and that it automatically went into their Amazon account. I found that they had never opened the cards to follow the button that states ""Apply to your account"". Either they thought they were saving me money or they thought it was just automatic. We were on the phone and went through the process. Now, they have $350 of e-cards they never loaded. Now, they enjoyed their Prime Day! And we are all 3 laughing at ourselves. So I say with joy, check on your parents!!",positive
236,Gift Cards,Amazon eGift Card - Congrats (Fireworks),$50.00,5,A dear colleague and friend was moving from Hawaii to New York. Sadly part of the mass resignation and impact of COVID. It was a versatile gift that was easy for me to get to her in a short period of time and I’m confident she will be able to use it no matter where she finally settles.,positive
237,Gift Cards,Amazon eGift Card - Congrats (Fireworks),$50.00,5,"I just hate anger but giving someone you really do not respect, a dollar is perfect!! They are insulted but money grabber gene more powerful! They use it reluctantly and of course have to add to it to purchase something! Revenge is always better if causes no real harm and has a bit of sarcastic humor.",positive
238,Gift Cards,Amazon eGift Card - Congrats (Fireworks),$50.00,5,"I always give my kids and grandkids Amazon gift cards because I generally have no idea what they might want or need and frankly I'm too lazy (too old) to go shopping even if I did know what they wanted. If they can't find it on Amazon, it doesn't exist.",positive
239,Gift Cards,Amazon eGift Card - Congrats (Fireworks),$50.00,5,"Got this for a 13 year olds birthday, and she loved it. Super simple and very easy to get last minute. Did you forget to buy a gift?? Give this instead. Can be used instantly and is sure to get them what they want or to towards a larger item they wish to purchase.",positive
240,Gift Cards,Amazon eGift Card - Happy Birthday Balloons,$50.00,1,"I have sent and received 1000s in amazon gift cards over the years. So it hurts me to write this review but I want to make sure people are aware of how little responsibility Amazon takes to make sure a gift sent through them reaches your loved ones. I sent a 100$ gift card to a friend in April. When she went to use it, she was told the claim code was not valid. She let me know and I called Amazon. I was told that the claim code was used by someone else (they could tell it was a different person)...they sent the same claim code on two different gift cards, so clearly their fault. The rep said she would let the gift card department know. But next morning I get this email from a customer service rep in India..

""
I've researched your Amazon.com Gift Card order and found that it may have been used by ""Susan Pebley"" someone other than the intended recipient. I'm not able to resend the gift card or refund the order.

To receive a refund, please contact the bank that issued the credit card used to purchase the gift card and dispute the charge. The bank will send paperwork for you to sign to verify any unauthorized charge. Your bank will then pass the appropriate paperwork on to us.

I hope you understand my limitations and help us to serve you better.We hope to see you again soon.

We'd appreciate your feedback. Please use the links below to tell us about your experience today.""

One they dont want to fix something that should be easy to fix....""just reissue a gift card"", they want me to spend more time trying to get back what should be there in the first place . The credit card company cant do anything unless you find out about it in their 90 day limit. That doesnt usually happen as most gift card recepients dont use it right away. They might not even feel close enough to the giver to let them know it didnt work...just imagine how many gifts dont reach the recipient.

very disappointed by Amazon. I will be looking for a different more reliable company to send my gifts with.

Felt this was important to bring to people's attention with the coming holiday season. Please don't waste your money sending an Amazon gift card. Just send your loved ones cash instead.",negative
241,Gift Cards,Amazon eGift Card - Happy Birthday Balloons,$50.00,5,"How can you not give an amazon card 5 stars? This is the only website where you can order anything in the world that you can even possibly imagine and have it shipped for free to you in a day. This is simply amazing.

I challenge you to find me another website where you can buy a brand new vehicle as a 16 year old trouble making teenager and have it hand delivered to your house. All your friends will think you are cool as sh*t because, after all, you are driving a brand new vehicle in high school.

The hot high school cheerleader that you have spent hundreds of hours dreaming about the day you get a chance with her won't be a able to resist. She approaches you and your sweet ride with a giggly, nervous approach and you know its on. You end up asking her out on a date the following week and she says ""of course"".

Now you need some new clothes to wear for this date because its the biggest night of your so far anticlimactic life. So what do you do? you hit Amazon.com and order a new wardrobe, throw some very overpowering body spray in on the order. You punch in the Amazon gift card number that your parents gave you and BAM! Order confirmed, it'll be at mommy and daddy's door day after tomorrow.

You drive your brand new whip to a buddies house and tell him about your date with the hot girl from school named Lexi. He jealously laughs and talks about how obviously with a name like Lexi you better get some protection to keep on hand for later after the date. You shrug it off and act like you are way ahead of him. You say ""i think i have a couple"" even though you have never touched one in your life.

You head home, you do some searches online and see that your buddy was right. You find proof on Urban Dictionary that any girl with a name like Lexi is definitely putting out on the first date.

Your parents work at the local grocery store and they know someone that works at an other stores in your surrounding area. How the hell are you going to buy condoms without them knowing? AMAZON!!! you log on as fast as you can, nervous to type in the search bar. After a minute of anxiety you do it, you type it in the search bar and the results are endless. You had no idea that there was a need for different flavors, shapes and colors. You remember that your only amazon account is linked straight to mommy and daddy's phone. They get an alert anytime you spend their money on Amazon.

You sit and ponder what to do in front of the $3500 iMac that you got handed to you for your 15 and half birthday. You decide to order from a large online retailer that you know well. You have been in their big box stores hundreds of times so you know its a legit place to buy from. You pull out your debit card that is linked to a checking account that you have never put a dime in but mommy always makes sure to give you a few hundred dollars when you act like a little brat because you say you are broke. You place the order: $7.99 for a ten pack plus $4.63 for shipping. The shipping charge is almost as much as the item but you don't care because you have never worked far anything and money is not an object to you. Now you just have to figure out tonights homework and its game on this Frida night.

Your date is now only hours away. ""This will work out great"" you think. You'll drive your week old rig that you purchased on amazon home from school, change into some new bad to the bone clothes spray a can or two of some horrible smelling body spray on and head over to Lexi's house to pick her up for your night of adventure.

After school you rush home, you arrive, send a couple texts to friends asking them to wish you luck tonight. Of course you are using a brand new iPhone X because Daddy wouldn't want you to look like one of those ""poor kids"" that is still running the iPhone 7. You ask the butler to hand over any mail that came in your name. He replies ""no mail today sir"". What the hell? you ordered those condoms two days ago, everything you ever order online is two day shipping WHAT THE...??

You realize that this shipping delay must be because you bought it on a site other than amazon. You frantically log into the iMac and go track your shipment. ""Processing"" is the only word you see. Ok, Ok, Ok. Its going to be fine. you calm yourself down trying to convince yourself that this female named Lexi isn't going to be like that anyway. You try to forget all the warnings from friends and Urban Dictionary about the morals that women named Lexi have... or don't have.

You load up in the rig and head over to the address that Lexi texted you. You are using the iPhone X to navigate. You arrive. She comes running out to the rig not wearing a whole lot. Maybe all that research was right about Lexi's. You justify it by telling yourself ""its hot out, she just doesn't like to be hot"". Your are sweating with nervousness despite the A/C being full blast in the brand new vehicle. You start driving to the bowling ally like you two had talked about at school in front of your brand new lifted diesel megacab.

Lexi starts to laugh and asks, ""we aren't really going bowling are we??"" in her typical dirty Lexi voice. She sees that your are frozen. You don't know what to say or do in this moment. She tells you to drive down a back road that she knows about. ""its only about 10 minutes from here"" she says. you drive and make nervous small talk on the way. Listening to Lexi for directions just as you had listened to Siri when trying to find Lexi's house. You really have no sense of direction and its easier to follow Lexi's directions than SIri's anyway. Why does Siri always have to say head north on such and such street or southwest on that street? You have only ever used a compass playing World of Warcraft and that doesn't help much.

You arrive at the dirt road Lexi was talking about, its beginning to get dark. She starts acting just like those guys on Urban Dictionary said she would. She asks if you have protection. You tell her no ""i can't stand those"" an excuse you've heard others use but you have no idea what you are saying. Soon it happens and is over in approximately 26 seconds. You head back to Lexi's house to drop her off. You can't believe what just happened. You head home, call Mommy in transit and tell her to transfer some money to you r account so you can fill this rig up with 35 gallons of pure American Diesel fuel. you fill it up and go home.

Several weeks go by and you get a late night call from Lexi. She hasn't talked to you much since the date night and you thought it was over. So a missed call from Lexi was rather exciting. You call her back, she gives you the news. She's pregnant.

While on the phone with her the butler knocks on the door of your room. You say ""Freak off!"" like he expected from your disrespectful a*s. he cracks the door and drops a box on the floor. Its the condoms you ordered from a site other than Amazon over a month ago. ""How ironic"" you think and kick the box in anger.

9 months later, you are at the hospital while Lexi is birthing your child. You weren't even going to come since you haven't ever had to take any responsibility for your actions. Your mommy told you that she would buy you the new iPhone XI if you went and acted interested though. The kid is born, you don't give a flying freak and you leave.

Several weeks later you get a subpoena to appear in court for a hearing regarding child support. You go to court and due to having such wealthy parents and a healthy trust fund you are ordered to pay $10k/month to Lexi. That isn't shoot to you though since you know mommy and daddy will pay it.

Now, many years later, you are still living in mommy and daddy's mansion. They refused to buy you your own house like they had promised since they have payed nearly one million dollars in child support to Lexi. This is the first time they have ever stood by their word and not given you what you want.

Everyday you curse that online retailer. You wish that you would have had and Amazon gift card to buy those condoms. You would be living in your own mansion with your own butler to order around and you definitely wouldn't have a dirty kid that you have to see every other weekend.

This is why Amazon Gift cards get 5 stars from me",positive
242,Gift Cards,Amazon eGift Card - Happy Birthday Balloons,$50.00,1,"I think I am just wasting time writing this, but this must have happened to someone else. Something is definitely not right here.
I have had so many good experiences with eGift cards until this one. I bought 4 email gift cards in 1 order and they were all sent correctly to 4 recipients' emails. Two of them were redeemed within a day and I got notified via email as such. After almost 3 months, I was browsing my other orders and saw the other two were redeemed by an email address that I didn't recognize. I sent an inquiry to Amazon.com. After 10 emails, 1 phone call and 1 chat 4 weeks later, amazon.com asked me to file a claim through my credit card company that paid for the gift cards.
My initial inquiries via emails were quite frustrating as each email was responded by different support person who obviously didn't read previous emails. After two days of these emails, I called amazon.com. The support person was helpful and told me name of the amazon customer who redeemed the two gift cards. Since I didn't know the amazon customer who redeemed the gift cards and I never resent those gift cards to an email address different from the intended recipients, it was clear that the two gift cards were fraudulently sent and redeemed. They were going to investigate this case, so I thought. After 2 weeks of not hearing back from amazon.com, I followed up with the most recent email from 2 weeks prior. They came back with they will contact me when they finish their investigation. I didn't hear back from them for another 2 weeks, so I sent another followup email. This time, they came back with you need to go through your credit card company to file a claim. It was clear I wasted weeks corresponding with amazon.com thinking they are doing something, but it is clear now all they are doing is dragging this out to frustrate their customers. Just because I feel I need to do the right thing, I filed a claim with my credit card company today and I am posting this review.
So, why didn't I get an email when those two gift cards were resent to another email? Why didn't I get an email when those two gift cards were redeemed? Did I say that neither me nor my original recipients know the customer name who redeemed those two gift cards nor the email in which the gift cards were resent? How did those two gift cards get resent to an email address without my credit card number being re-entered, or was my credit card number re-entered? Amazon.com knows the customer who redeemed the two gift cards. Did they ask that customer how she got the gift cards? None of that seems to matter as they just came back after all the emails, phone call and chat, you need to file a claim via your credit card company.",negative
243,Gift Cards,Amazon eGift Card - Happy Birthday Balloons,$50.00,5,"Many times you want to thank your friends for assisting you with exceptional tasks. It can be difficult trying to find the best gift to offer as a way of saying “thank you for being there”. The Amazon gift card is probably one of the best gifts because just about everyone can find something they can use. In fact, when my friend received the gift card that is exactly what they said. They were most appreciative to receive an Amazon gift card.

It was easy to gift, I sent it via email, and it was ready to use ASAP. This type of gift is also good when people do not want to give out their physical address.",positive
